MUNICIPALITY,YES,NO,BLANK,YES.1,NO.1,BLANK.1,YES.2,NO.2,BLANK.2,YES.3,NO.3,BLANK.3,YES.4,NO.4,BLANK.4
PITTSFIELD,292,135,6,259,165,9,320,106,7,229,197,7,291,135,7
PITTSTON,210,124,1,194,139,2,240,95,0,191,141,3,202,132,1
PLEASANT POINT,18,14,1,28,5,0,26,7,0,19,14,0,25,8,0
PLEASANT RIDGE,12,9,0,15,6,0,13,8,0,10,11,0,14,7,0
PLYMOUTH,78,64,2,49,94,1,81,62,1,45,98,1,58,84,2
POLAND,316,261,2,305,270,4,387,188,4,255,318,6,345,230,4
PORTAGE LAKE,24,34,0,29,29,0,39,19,0,20,38,0,36,22,0
PORTER,87,59,0,89,56,1,102,43,1,80,66,0,93,53,0
PORTLAND,9629,5045,517,11735,3140,316,12374,2404,413,10204,4513,474,12194,2719,278
POWNAL,259,347,9,290,316,9,359,249,7,246,357,12,315,295,5
PRENTISS,3,3,0,5,1,0,5,1,0,2,4,0,5,1,0
PRESQUE ISLE,572,524,14,649,454,7,758,339,13,431,660,19,712,385,13
PRINCETON,70,68,0,58,79,1,93,45,0,41,95,2,76,62,0
PROSPECT,55,60,2,50,66,1,62,54,1,35,81,1,54,63,0
RANDOLPH,215,103,4,188,129,5,233,79,10,159,157,6,206,113,3
RANGELEY,131,88,0,122,96,1,155,62,2,98,121,0,131,88,0
RAYMOND,389,243,1,376,255,2,458,175,0,337,295,1,405,228,0
READFIELD,283,144,4,285,143,3,330,98,3,253,174,4,303,126,2
REED,6,11,0,4,11,2,10,7,0,2,14,1,10,7,0
RICHMOND,296,157,3,266,186,4,329,125,2,244,209,3,298,155,3
RIPLEY,36,39,0,30,45,0,44,31,0,25,50,0,31,44,0
ROBBINSTON,36,40,0,31,45,0,52,24,0,32,44,0,38,38,0
ROCKLAND,589,568,34,695,469,27,879,294,18,618,546,27,747,425,19
ROCKPORT,361,234,6,418,179,4,498,98,5,375,213,13,443,150,8
ROCKWOOD STRIP,32,37,0,29,40,0,41,27,1,29,40,0,35,34,0
ROME,74,51,1,76,50,0,90,36,0,67,58,1,79,47,0
ROQUE BLUFFS,29,12,1,33,9,0,36,5,1,21,20,1,33,9,0
ROXBURY,48,29,1,40,37,1,54,24,0,34,43,1,46,31,1
RUMFORD,572,328,12,580,323,9,695,206,11,466,436,10,599,305,8
SABATTUS,421,380,11,363,435,14,481,315,16,298,498,16,397,408,7
SACO,2173,1849,75,2372,1657,68,2714,1298,85,1921,2094,82,2570,1480,47
SAINT AGATHA,88,43,0,94,37,0,103,28,0,67,64,0,91,40,0
SAINT ALBANS,104,128,0,89,143,0,129,101,2,82,149,1,109,123,0
SAINT FRANCIS,32,15,0,30,16,1,35,12,0,19,28,0,31,16,0
SAINT GEORGE,263,179,6,317,127,4,344,99,5,302,141,5,324,122,2
SAINT JOHN,27,17,0,35,9,0,31,13,0,15,29,0,33,11,0
SANDY RIVER,24,9,0,18,15,0,26,7,0,17,15,1,17,16,0
SANFORD,2216,1573,117,2231,1568,107,2586,1179,141,1782,2006,118,2372,1450,84
SANGERVILLE,85,75,1,78,83,0,105,55,1,68,93,0,86,75,0
SCARBOROUGH,2374,1572,82,2540,1419,69,2946,1009,73,2232,1706,90,2757,1223,48
SEARSMONT,85,100,2,92,94,1,132,53,2,92,93,2,110,77,0
SEARSPORT,180,168,7,170,182,3,242,111,2,170,182,3,191,162,2
SEBAGO,149,94,3,149,95,2,177,67,2,147,96,3,157,88,1
